"SPP","TIMES"
"ABLA",NA
"ACSA",10
"AMBR",8
"ANGE",NA
"BELU",NA
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",NA
"DRGL",10
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",NA
"PIRE",10
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",10
"RHMA",NA
"ROPS",NA
"SPAL",NA
"THPL",10
"TRAE",10
