"SPP","TIMES"
"ABLA",NA
"ACSA",8
"AMBR",NA
"ANGE",NA
"BELU",NA
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",NA
"DRGL",8
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",NA
"PIRE",10
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",8
"RHMA",2
"ROPS",NA
"SPAL",NA
"THPL",9
"TRAE",8
