"SPP","TIMES"
"ABLA",NA
"ACSA",8
"AMBR",NA
"ANGE",NA
"BELU",NA
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",NA
"DRGL",8
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",4
"PIRE",8
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",8
"RHMA",3
"ROPS",NA
"SPAL",NA
"THPL",8
"TRAE",8
