"SPP","TIMES"
"ABLA",NA
"ACSA",4
"AMBR",NA
"ANGE",NA
"BELU",NA
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",NA
"DRGL",3
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",NA
"PIRE",5
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",6
"RHMA",NA
"ROPS",NA
"SPAL",NA
"THPL",6
"TRAE",5
