"SPP","TIMES"
"ABLA",NA
"ACSA",10
"AMBR",NA
"ANGE",NA
"BELU",NA
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",NA
"DRGL",10
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",NA
"PIRE",7
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",7
"RHMA",NA
"ROPS",NA
"SPAL",NA
"THPL",10
"TRAE",7
