"SPP","TIMES"
"ABLA",NA
"ACSA",5
"AMBR",NA
"ANGE",NA
"BELU",NA
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",NA
"DRGL",5
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",5
"PIRE",NA
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",5
"RHMA",NA
"ROPS",NA
"SPAL",NA
"THPL",5
"TRAE",5
