"SPP","TIMES"
"ABLA",NA
"ACSA",9
"AMBR",NA
"ANGE",NA
"BELU",NA
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",NA
"DRGL",8
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",8
"PIRE",9
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",9
"RHMA",NA
"ROPS",NA
"SPAL",NA
"THPL",9
"TRAE",9
