"SPP","TIMES"
"ABLA",NA
"ACSA",10
"AMBR",NA
"ANGE",NA
"BELU",NA
"BOER",8
"BOGR",NA
"CEGR",3
"CONU",7
"DRGL",10
"FAGR",3
"KOMY",10
"LATR",NA
"LITU",NA
"PIEL",NA
"PIRE",9
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",10
"RHMA",NA
"ROPS",NA
"SPAL",9
"THPL",10
"TRAE",10
