"SPP","TIMES"
"ABLA",NA
"ACSA",4
"AMBR",NA
"ANGE",NA
"BELU",NA
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",NA
"DRGL",4
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",NA
"PIRE",4
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",4
"RHMA",NA
"ROPS",NA
"SPAL",NA
"THPL",4
"TRAE",4
