"SPP","TIMES"
"ABLA",NA
"ACSA",10
"AMBR",NA
"ANGE",10
"BELU",NA
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",10
"DRGL",10
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",10
"PIRE",NA
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",10
"RHMA",NA
"ROPS",NA
"SPAL",NA
"THPL",10
"TRAE",10
