"SPP","TIMES"
"ABLA",NA
"ACSA",10
"AMBR",NA
"ANGE",NA
"BELU",NA
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",NA
"DRGL",10
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",NA
"PIRE",10
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",10
"RHMA",NA
"ROPS",NA
"SPAL",6
"THPL",10
"TRAE",10
