"SPP","TIMES"
"ABLA",NA
"ACSA",9
"AMBR",NA
"ANGE",NA
"BELU",NA
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",NA
"DRGL",9
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",NA
"PIRE",9
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",9
"RHMA",NA
"ROPS",NA
"SPAL",8
"THPL",9
"TRAE",9
