"SPP","TIMES"
"ABLA",NA
"ACSA",5
"AMBR",NA
"ANGE",NA
"BELU",NA
"BOER",NA
"BOGR",5
"CEGR",NA
"CONU",NA
"DRGL",4
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",6
"PIRE",NA
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",6
"RHMA",NA
"ROPS",NA
"SPAL",NA
"THPL",6
"TRAE",6
