"SPP","TIMES"
"ABLA",NA
"ACSA",6
"AMBR",NA
"ANGE",NA
"BELU",NA
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",NA
"DRGL",7
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",NA
"PIEL",NA
"PIRE",7
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",6
"RHMA",2
"ROPS",NA
"SPAL",NA
"THPL",6
"TRAE",7
