"SPP","TIMES"
"ABLA",NA
"ACSA",9
"AMBR",10
"ANGE",6
"BELU",4
"BOER",NA
"BOGR",NA
"CEGR",NA
"CONU",NA
"DRGL",9
"FAGR",NA
"KOMY",NA
"LATR",NA
"LITU",8
"PIEL",NA
"PIRE",10
"PIST",NA
"POTR",NA
"PSME",NA
"QUPR",9
"RHMA",2
"ROPS",NA
"SPAL",NA
"THPL",9
"TRAE",7
