"uFastC","uSlowC","uNecroC","pFastC","pSlowC","pNecroC","livingMicrobeC","uFastN","uSlowN","uNecroN","pFastN","pSlowN","pNecroN","inorganicN","CO2","livingMicrobeN"
0.002160231322708,0.0640185086482425,0.00104865167694899,0.134965814545727,0.00600269829672095,0.380496709190412,0.00839722221231777,1.01333629703892e-05,0.00277270434676067,0.000128932583231433,0.00081117056205011,0.000273366669482749,0.0467823822775101,2.91745955651655e-05,103.00807221946,0.00137659380529792
0.002150424006909,0.0675188923627641,0.00103978438811163,0.133403459139211,0.00632706714944492,0.379074781275982,0.00825934668120188,8.29725857097762e-06,0.00267948584851482,0.00012784234280061,0.000656681827172794,0.000264693824273303,0.0466075550749154,2.91446152756622e-05,103.007388300348,0.00135399125921345
0.00207936758056281,0.0840168698521255,0.00107165515719674,0.125696204732364,0.00786284151616973,0.391061243916339,0.00839833480791177,7.04001126684606e-06,0.00296642763249987,0.000131760879983206,0.000536914081693096,0.000291852726653691,0.0480813004815177,2.91706536327047e-05,102.984975537795,0.00137677619801832
0.00216248355106257,0.0589171120776997,0.00112211777747373,0.137119729919175,0.00553465796799292,0.397448780366831,0.00928687048852594,2.06809380459212e-05,0.00351209666888446,0.000137965300509066,0.00169943667250601,0.00034241331748521,0.0488666533237911,2.93640195829657e-05,102.993570303208,0.0015224377850043
0.00222183032167781,0.0399529575294448,0.0011716523515796,0.146306593025196,0.00378803386591114,0.402651922026521,0.0100403858603584,3.03646053146474e-05,0.00317792821273242,0.000144055616997492,0.00263234719305061,0.000311922608224818,0.0495063838557201,2.9528136700861e-05,102.999028680373,0.00164596489514081
0.00221366584324229,0.0502839282251736,0.00101369846971221,0.141504294285546,0.00472933364228332,0.368945918206003,0.00820431530658496,1.07521379816486e-05,0.00246356155429521,0.000124635057751502,0.000888019639209762,0.000244276708139709,0.0453622030581152,2.91364030518477e-05,103.028266901374,0.00134496972239101
0.00206326076312881,0.0886996621456543,0.00106452863821808,0.123678027498548,0.00829970617724593,0.3903829108171,0.00826627433815217,5.27648589276111e-06,0.0028050253700023,0.00013088466863337,0.000396704276033184,0.000276918926058548,0.0479978988709547,2.91416533654021e-05,102.982707684973,0.00135512694068072
0.00212722643841025,0.0701663835822693,0.00109164985495093,0.131918480959145,0.0065752925281525,0.392229539511233,0.00877666223365721,1.16447317753547e-05,0.00313542385276885,0.00013421924446118,0.000924898356682841,0.000307433303090107,0.0482249433825286,2.92538768203242e-05,102.992276820248,0.00143879708748476
0.00198410699216571,0.104777729213495,0.00109680116219924,0.116329381140644,0.00980386357218754,0.401719897335534,0.00839042087839432,3.07002142578791e-06,0.00276728355543162,0.000134852601909743,0.000223334658530111,0.000274023558543514,0.0493917906560082,2.91649514521224e-05,102.96105985506,0.00137547883252359
0.0019531849278192,0.109299085750291,0.00112581440125477,0.114014363391331,0.0102270067239323,0.410602425819549,0.0086478566483904,4.26463445135673e-06,0.00324389045947589,0.000138419803432964,0.000309217037456422,0.000318635674324991,0.0504839048138789,2.9218552449148e-05,102.949292317692,0.00141768141776902
0.0019621931735007,0.109586987451451,0.00109713924272468,0.114207551313783,0.0102544839304742,0.403530309232451,0.00834162688374033,2.68029691670257e-06,0.00277417968275852,0.00013489416918746,0.000192600673397058,0.000274783184320247,0.0496143822826777,2.91534983409742e-05,102.956181764128,0.0013674798170066
