"uFastC","uSlowC","uNecroC","pFastC","pSlowC","pNecroC","livingMicrobeC","uFastN","uSlowN","uNecroN","pFastN","pSlowN","pNecroN","inorganicN","CO2","livingMicrobeN"
0.00600514509420296,0.269343923820711,0.00211667342584044,0,0,0,0.0195936262960023,9.71192120868326e-05,0.00622972176347758,0.0002602467326853,0,0,0,2.91654039470402e-05,2.02929359567085,0.00321206988459054
0.00605349650606233,0.288025265990693,0.00205323461599438,0,0,0,0.0188283123906608,8.23895291818795e-05,0.00580084432530412,0.000252446879015702,0,0,0,2.91354331029934e-05,2.01139265480421,0.00308660858863293
0.00559346817877376,0.373036709635817,0.00207565155026733,0,0,0,0.018432733989877,7.65107059347772e-05,0.00705808026962054,0.000255203059459098,0,0,0,2.91614632565071e-05,1.92721440095288,0.00302175967047163
0.00562564531209335,0.239754575907468,0.00249734959858346,0,0,0,0.0236063336606478,0.000180351704961716,0.0095518157153625,0.000307051180153704,0,0,0,2.93547682857531e-05,2.05486905982881,0.00386989076404063
0.00577768528831272,0.145059457845807,0.00278082405960414,0,0,0,0.0270788670466868,0.000238301830341751,0.00778592842445068,0.000341904597492313,0,0,0,2.95188336976403e-05,2.1456561300672,0.00443915853224375
0.00631549925168171,0.200979198963236,0.00204194973364539,0,0,0,0.0193949958332625,9.70715996696745e-05,0.00486408819454869,0.000251059393480991,0,0,0,2.91272234664856e-05,2.09762132052578,0.00317950751364959
0.00560040193565061,0.399134709400578,0.00200673183203337,0,0,0,0.0175733030179312,6.04006206518463e-05,0.00626885763279971,0.00024672932361066,0,0,0,2.91324721258995e-05,1.90203781812142,0.00288086934720186
0.00582351186882839,0.299459697874056,0.00216284290547268,0,0,0,0.0199202048096635,0.000115207064039002,0.007806787490483,0.00026592330804992,0,0,0,2.92446602241998e-05,1.9989867068496,0.00326560734584648
0.00497287751263412,0.486492796129415,0.00198480649424306,0,0,0,0.0166722889093299,3.93788357311286e-05,0.00588052643765061,0.000244033585357754,0,0,0,2.91557628724284e-05,1.81623019526198,0.00273316211628358
0.0045300056256324,0.50900191219062,0.00206467334918833,0,0,0,0.017251997322464,5.45021407449671e-05,0.00815803978369784,0.00025385328063791,0,0,0,2.92093469821626e-05,1.79350437581971,0.00282819628237115
0.00467147475068394,0.512696066539453,0.00199968565206398,0,0,0,0.0165755628074413,3.50391452312017e-05,0.00589695545784936,0.000245862990007866,0,0,0,2.91443133696464e-05,1.79041017455796,0.00271730537826905
